term_en,term_sw,pos,definition_en,definition_sw,domains,example_en,example_sw,shortcode,version,source,language_pair,created,updated
legal system,muundo wa sheria,noun,structure of laws,muundo wa sheria,law,The legal system guides justice.,Mfumo wa sheria unaongoza haki.,LS01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal framework,muundo wa kisheria,noun,legal structure,muundo wa kisheria,law,The legal framework supports governance.,Muundo wa kisheria unaunga utawala.,LF01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal authority,mamlaka ya kisheria,noun,power granted by law,mamlaka ya kisheria,law,The court has legal authority.,Mahakama ina mamlaka ya kisheria.,LA01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal procedure,utaratibu wa kisheria,noun,steps required by law,utaratibu wa kisheria,law,Follow the legal procedure.,Fuata utaratibu wa kisheria.,LP01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal code,kanuni za sheria,noun,collection of laws,mkusanyiko wa sheria,law,The legal code defines rules.,Kanuni za sheria zinafafanua kanuni.,LC01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal dispute,mzozo wa kisheria,noun,conflict under law,mzozo wa kisheria,law,They resolved the legal dispute.,Walitatua mzozo wa kisheria.,LD01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal notice,taarifa ya kisheria,noun,official legal communication,taarifa ya kisheria,law,He received a legal notice.,Alipokea taarifa ya kisheria.,LN01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal penalty,adhabu ya kisheria,noun,punishment by law,adhabu ya kisheria,law,The legal penalty was severe.,Adhabu ya kisheria ilikuwa kali.,LP02,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal rights,haki za kisheria,noun,rights protected by law,haki za kisheria,law,Everyone has legal rights.,Kila mtu ana haki za kisheria.,LR01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal obligation,wajibu wa kisheria,noun,duty required by law,wajibu wa kisheria,law,It is a legal obligation.,Ni wajibu wa kisheria.,LO01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal reform,mageuzi ya sheria,noun,changes to law,mageuzi ya sheria,law,Legal reform improves justice.,Mageuzi ya sheria yanaboresha haki.,LR02,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal interpretation,ufafanuzi wa sheria,noun,explaining law,ufafanuzi wa sheria,law,Legal interpretation varies.,Ufafanuzi wa sheria hutofautiana.,LI01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal advisor,mshauri wa sheria,noun,legal consultant,mshauri wa sheria,law,He consulted a legal advisor.,Alishauriana na mshauri wa sheria.,LA02,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal document,nyaraka ya kisheria,noun,official legal paper,nyaraka ya kisheria,law,The legal document was signed.,Nyaraka ya kisheria ilisainiwa.,LD02,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal claim,madai ya kisheria,noun,legal demand,madai ya kisheria,law,She filed a legal claim.,Aliwasilisha madai ya kisheria.,LC02,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal counsel,ushauri wa kisheria,noun,legal guidance,ushauri wa kisheria,law,He sought legal counsel.,Alitafuta ushauri wa kisheria.,LC03,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal jurisdiction,eneo la kisheria,noun,area of legal authority,eneo la kisheria,law,This case is under legal jurisdiction.,Kesi iko chini ya eneo la kisheria.,LJ01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal mandate,agizo la kisheria,noun,legal requirement,agizo la kisheria,law,The legal mandate was enforced.,Agizo la kisheria lilitekelezwa.,LM01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal appeal,rufaa ya kisheria,noun,request for legal review,rufaa ya kisheria,law,He filed a legal appeal.,Aliwasilisha rufaa ya kisheria.,LA03,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal settlement,makubaliano ya kisheria,noun,legal resolution,makubaliano ya kisheria,law,They reached a legal settlement.,Walifikia makubaliano ya kisheria.,LS03,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal compliance,utiifu wa sheria,noun,following the law,utiifu wa sheria,law,Legal compliance is required.,Utiifu wa sheria unahitajika.,LC04,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal breach,ukiukaji wa sheria,noun,breaking the law,ukiukaji wa sheria,law,The breach was serious.,Ukiukaji ulikuwa mkubwa.,LB01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal guardian,mlezi wa kisheria,noun,appointed protector,mlezi wa kisheria,law,She is the legal guardian.,Yeye ni mlezi wa kisheria.,LG01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal contract,mkataba wa kisheria,noun,legal agreement,mkataba wa kisheria,law,They signed a legal contract.,Walisaini mkataba wa kisheria.,LC05,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal evidence,uthibitisho wa kisheria,noun,proof under law,uthibitisho wa kisheria,law,The legal evidence was strong.,Ushahidi wa kisheria ulikuwa thabiti.,LE01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal hearing,kusikilizwa kwa kesi,noun,legal session,kusikilizwa kwa kesi,law,The legal hearing began.,Kusikilizwa kwa kesi kulianza.,LH01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal ruling,uamuzi wa kisheria,noun,decision by court,uamuzi wa kisheria,law,The legal ruling was final.,Uamuzi wa kisheria ulikuwa wa mwisho.,LR03,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal violation,ukiukaji wa kisheria,noun,breaking legal rules,ukiukaji wa kisheria,law,The violation was recorded.,Ukiukaji ulirekodiwa.,LV01,1.0,manual,EN-SW,2026-09-14,2026-09-14
legal compliance officer,afisa wa utiifu wa sheria,noun,law compliance officer,afisa wa utiifu wa sheria,law,The officer ensured compliance.,Afisa alihakikisha utiifu.,LCO1,1.0,manual,EN-SW,2026-09-14,2026-09-14
